City,Country,Date,Max Temp,Cloudiness,Humidity,lat,lon,Wind Speed
yellowknife,CA,2019-03-02 04:32:53,-26.82,5,62,62.45,-114.38,3.6
victoria,BN,2019-03-02 04:30:00,30.8,40,58,5.28,115.24,2.6
isangel,VU,2019-03-02 04:00:00,27,75,88,-19.55,169.27,2.1
ilo,PE,2019-03-02 04:42:03,16.52,0,93,-17.65,-71.34,0.96
buin,CL,2019-03-02 04:41:26,22.44,0,49,-33.73,-70.74,1.5
kavieng,PG,2019-03-02 04:42:04,28.67,56,100,-2.57,150.8,2.06
tiksi,RU,2019-03-02 04:42:04,-19.01,32,70,71.64,128.87,1.61
busselton,AU,2019-03-02 04:40:43,24.42,20,24,-33.64,115.35,5.01
berwick,US,2019-03-02 04:41:36,-0.84,90,86,41.06,-76.25,1.5
vaini,IN,2019-03-02 04:00:00,27.98,0,16,15.34,74.49,2.6
port alfred,ZA,2019-03-02 04:40:37,18.59,68,84,-33.59,26.89,0.45
bogorodskoye,RU,2019-03-02 04:42:09,-6.26,56,50,52.37,140.44,2.91
koszalin,PL,2019-03-02 04:40:53,-5,24,88,54.19,16.18,4.46
rikitea,PF,2019-03-02 04:42:10,25.49,92,100,-23.12,-134.97,6.01
punta arenas,CL,2019-03-02 04:33:14,10,40,87,-53.16,-70.91,5.7
kruisfontein,ZA,2019-03-02 04:42:11,17.74,68,85,-34,24.73,2.36
dire,ET,2019-03-02 04:42:11,16.99,0,55,9.18,38.92,1.76
alofi,NU,2019-03-02 04:00:00,30,76,74,-19.06,-169.92,3.6
pevek,RU,2019-03-02 04:42:13,-16.01,56,63,69.7,170.27,1.21
olga,US,2019-03-02 04:42:04,13.83,90,82,34.11,-118.17,2.6
te anau,NZ,2019-03-02 04:42:14,20.04,0,36,-45.41,167.72,1.41
provideniya,RU,2019-03-02 04:42:14,-3.29,0,91,64.42,-173.23,5.96
kodiak,US,2019-03-02 04:42:05,-1.76,40,45,39.95,-94.76,5.7
hobart,AU,2019-03-02 04:28:53,37.27,0,10,-42.88,147.33,8.7
pisco,PE,2019-03-02 04:00:00,23,0,78,-13.71,-76.2,4.1
atuona,PF,2019-03-02 04:42:16,27.22,0,100,-9.8,-139.03,3.46
port elizabeth,US,2019-03-02 04:41:39,1.88,90,100,39.31,-74.98,4.1
albany,US,2019-03-02 04:41:03,-3.92,90,68,42.65,-73.75,1.5
hilo,US,2019-03-02 04:41:46,18.26,90,56,19.71,-155.08,4.1
bluff,AU,2019-03-02 04:42:18,31.24,92,38,-23.58,149.07,6.01
mataura,NZ,2019-03-02 04:40:05,16.67,0,69,-46.19,168.86,4.02
tuatapere,NZ,2019-03-02 04:40:05,16.67,0,69,-46.13,167.69,4.02
ushuaia,AR,2019-03-02 04:00:00,9,75,93,-54.81,-68.31,2.1
papara,BR,2019-03-02 04:38:09,25.19,40,94,-3.98,-38.73,1.5
jamestown,AU,2019-03-02 04:42:20,35.89,0,21,-33.21,138.6,2.76
mar del plata,AR,2019-03-02 04:42:20,12.52,24,93,-46.43,-67.52,1.01
xichang,CN,2019-03-02 04:42:21,15.67,0,14,27.88,102.25,0.91
arraial do cabo,BR,2019-03-02 04:42:21,22.42,92,100,-22.97,-42.02,2.06
hithadhoo,MV,2019-03-02 04:42:22,28.52,8,100,-0.6,73.08,5.26
tazovskiy,RU,2019-03-02 04:42:22,-10.64,68,88,67.47,78.7,3.81
torbay,CA,2019-03-02 04:38:35,-6.8,90,62,47.66,-52.73,9.8
dikson,RU,2019-03-02 04:42:23,-18.09,68,97,73.51,80.55,5.61
port elgin,CA,2019-03-02 04:40:05,-5.13,90,73,44.44,-81.39,3.71
ayni,TJ,2019-03-02 04:42:24,4.72,64,57,39.39,68.54,0.61
lavrentiya,RU,2019-03-02 04:42:24,-7.11,0,77,65.58,-170.99,4.76
nikolskoye,RU,2019-03-02 04:40:34,-5.95,0,67,59.7,30.79,4
bima,ID,2019-03-02 04:42:25,29.14,68,84,-8.45,118.73,1.61
saint george,GR,2019-03-02 04:33:35,6.62,0,61,39.45,22.34,1
maxixe,MZ,2019-03-02 04:00:00,25,40,94,-23.86,35.35,2.91
santa rosa,AR,2019-03-02 04:37:43,16.12,0,46,-36.62,-64.29,4.36
ornskoldsvik,SE,2019-03-02 04:20:00,1.62,24,87,63.29,18.72,7.7
cape town,ZA,2019-03-02 04:37:31,19.62,75,82,-33.93,18.42,2.1
anadyr,RU,2019-03-02 04:33:14,-6.07,75,85,64.73,177.51,11
carnarvon,ZA,2019-03-02 04:42:28,15.17,0,55,-30.97,22.13,1.31
grindavik,IS,2019-03-02 04:39:15,3.17,75,93,63.84,-22.43,5.7
kant,KG,2019-03-02 04:30:00,7,0,78,42.89,74.85,3
hasaki,JP,2019-03-02 04:34:35,13.11,40,32,35.73,140.83,1.5
chuy,UY,2019-03-02 04:42:30,21.57,0,72,-33.69,-53.46,7.21
new norfolk,AU,2019-03-02 04:30:00,36.81,0,32,-42.78,147.06,9.3
coquimbo,CL,2019-03-02 04:00:00,15,75,87,-29.95,-71.34,1
port moresby,PG,2019-03-02 04:00:00,34,40,52,-9.47,147.16,7.7
sovetskiy,RU,2019-03-02 04:42:31,-9.51,88,89,56.76,48.47,6.96
vagur,FO,2019-03-02 04:42:31,7.52,88,98,61.47,-6.81,5.71
navrongo,GH,2019-03-02 04:42:32,17.87,0,26,10.89,-1.09,4.16
east london,ZA,2019-03-02 04:00:00,20,20,82,-33.02,27.91,2.6
upernavik,GL,2019-03-02 04:36:01,-17.24,32,100,72.79,-56.15,3.96
chokurdakh,RU,2019-03-02 04:42:33,-23.11,76,68,70.62,147.9,5.81
vardo,US,2019-03-02 04:42:31,-0.11,90,98,39.62,-77.74,2.1
constitucion,MX,2019-03-02 04:42:33,11.67,0,51,23.99,-104.67,3.41
ust-kuyga,RU,2019-03-02 04:42:34,-22.99,64,66,70,135.55,1.81
bredasdorp,ZA,2019-03-02 04:30:29,15.19,56,87,-34.53,20.04,1.5
moindou,NC,2019-03-02 04:30:00,25,90,83,-21.69,165.68,10.3
tuktoyaktuk,CA,2019-03-02 04:00:00,-20,5,64,69.44,-133.03,8.2
victor harbor,AU,2019-03-02 04:40:45,37.7,0,13,-35.55,138.62,5.1
ikon-khalk,RU,2019-03-02 04:31:05,0,88,9,44.32,41.92,7.6
hermanus,ZA,2019-03-02 04:31:14,18.52,48,91,-34.42,19.24,1.66
bethel,US,2019-03-02 04:34:00,-0.27,90,100,60.79,-161.76,3.6
ust-nera,RU,2019-03-02 04:42:38,-27.94,8,69,64.57,143.24,1.06
amuntai,ID,2019-03-02 04:42:38,30.39,44,71,-2.42,115.25,1.36
ancud,CL,2019-03-02 04:00:00,11,90,87,-41.87,-73.83,1.5
abu dhabi,AE,2019-03-02 04:00:00,18,75,42,24.47,54.37,7.7
barrow,AR,2019-03-02 04:42:39,16.62,88,74,-38.31,-60.23,9.41
bambous virieux,MU,2019-03-02 04:38:59,28.63,75,79,-20.34,57.76,5.1
fairbanks,US,2019-03-02 04:40:11,-9.52,1,85,64.84,-147.72,1.16
cotonou,BJ,2019-03-02 04:00:00,24,20,94,6.37,2.43,1.21
dudinka,RU,2019-03-02 04:42:41,-10.49,80,86,69.41,86.18,9.61
norman wells,CA,2019-03-02 04:00:00,-17,5,54,65.28,-126.83,8.7
messina,IT,2019-03-02 04:41:34,12.65,75,82,38.19,15.55,5.7
vanderhoof,CA,2019-03-02 04:42:42,-15.89,0,42,54.02,-124.02,2.51
sao filipe,CV,2019-03-02 04:42:43,21.47,0,92,14.9,-24.5,8.06
saint-philippe,CA,2019-03-02 04:41:41,-11.58,1,78,45.36,-73.48,1.41
mount isa,AU,2019-03-02 04:30:00,34,40,28,-20.73,139.49,3.6
kapaa,US,2019-03-02 04:38:21,20.85,1,53,22.08,-159.32,6.2
goris,AM,2019-03-02 04:42:44,-2.69,0,57,39.51,46.34,1.46
rumilly,FR,2019-03-02 04:38:09,5.71,75,100,45.87,5.94,1
ribeira grande,PT,2019-03-02 04:42:45,16.89,92,91,38.52,-28.7,10.51
ponta do sol,BR,2019-03-02 04:42:45,18.82,48,96,-20.63,-46,0.96
lazurne,UA,2019-03-02 04:42:46,-0.89,0,73,46.77,34.99,4.81
mehamn,NO,2019-03-02 04:42:46,-8.84,76,80,71.03,27.85,1.76
souillac,FR,2019-03-02 04:42:09,9.03,90,93,45.6,-0.6,6.7
xiongzhou,CN,2019-03-02 04:42:33,7.83,90,87,32.34,118.83,5
tecpan,GT,2019-03-02 04:40:04,12.76,0,77,14.76,-90.99,4.1
macas,EC,2019-03-02 04:42:47,16.64,36,89,-2.3,-78.12,1.21
champerico,MX,2019-03-02 04:03:00,25,5,65,16.38,-93.6,0.86
cabo san lucas,MX,2019-03-02 04:35:37,20.05,5,53,22.89,-109.91,3.6
kahului,US,2019-03-02 04:33:50,20,20,56,20.89,-156.47,5.7
kofele,ET,2019-03-02 04:42:49,16.99,0,40,7.07,38.78,1.86
safford,US,2019-03-02 04:42:16,12.03,1,41,32.83,-109.71,1.5
tomaszow lubelski,PL,2019-03-02 04:41:55,-3.89,0,87,50.45,23.42,1.41
bilma,NE,2019-03-02 04:42:50,14.99,8,23,18.69,12.92,4.16
sao jose da coroa grande,BR,2019-03-02 04:42:50,23.77,68,98,-8.9,-35.15,1.01
kalevala,FI,2019-03-02 04:42:50,-4.94,80,84,64.12,29.58,2.66
coutances,FR,2019-03-02 04:38:23,10,88,93,49.05,-1.45,9.8
lebu,ET,2019-03-02 04:42:51,16.99,0,55,8.96,38.73,1.76
faya,SA,2019-03-02 04:00:00,12.52,0,93,18.39,42.45,2.1
longyearbyen,NO,2019-03-02 04:42:51,-31.49,24,100,78.22,15.63,0.71
viedma,AR,2019-03-02 04:42:52,13.74,0,83,-40.81,-62.99,4.36
sindor,RU,2019-03-02 04:42:52,-13.61,44,73,62.87,51.9,1.61
pontianak,ID,2019-03-02 04:00:00,30,75,70,-0.02,109.34,1.5
cidreira,BR,2019-03-02 04:42:53,21.29,0,92,-30.17,-50.22,5.01
port lincoln,AU,2019-03-02 04:42:53,21.62,76,83,-34.72,135.86,7.96
butaritari,KI,2019-03-02 04:42:54,28.07,80,100,3.07,172.79,5.26
yulara,AU,2019-03-02 04:00:00,40,0,11,-25.24,130.99,3.6
ibra,OM,2019-03-02 04:42:54,22.99,24,64,22.69,58.55,2.16
dunda,IN,2019-03-02 04:42:55,7.54,92,78,30.62,78.32,0.51
alekseyevsk,RU,2019-03-02 04:42:55,-1.11,88,73,57.84,108.35,1.66
havre-saint-pierre,CA,2019-03-02 04:00:00,-11,20,51,50.23,-63.6,4.1
honiara,SB,2019-03-02 04:42:56,28.22,80,69,-9.43,159.96,0.61
baijiantan,CN,2019-03-02 04:42:56,-10.49,32,96,45.63,85.18,1.66
katsuura,JP,2019-03-02 04:24:43,11.25,75,57,33.93,134.5,4.6
pacific grove,US,2019-03-02 04:42:40,11.4,90,71,36.62,-121.92,2.26
qaanaaq,GL,2019-03-02 04:42:57,-27.11,8,70,77.48,-69.36,3.06
ixil,MX,2019-03-02 04:31:21,26.83,5,57,21.15,-89.48,8.2
cap malheureux,MU,2019-03-02 04:38:59,28.69,75,79,-19.98,57.61,5.1
megion,RU,2019-03-02 04:30:00,-8,90,85,61.04,76.11,6
port hardy,CA,2019-03-02 04:00:00,-2,90,92,50.7,-127.42,2.1
codrington,AU,2019-03-02 04:39:02,24.52,92,69,-28.95,153.24,9.3
bandarbeyla,SO,2019-03-02 04:42:59,25.07,92,100,9.49,50.81,3.31
tasiilaq,GL,2019-03-02 04:42:59,-6.89,88,100,65.61,-37.64,10.06
kathmandu,NP,2019-03-02 04:20:00,13,75,71,27.71,85.32,1.5
sambava,MG,2019-03-02 04:43:00,27.42,20,100,-14.27,50.17,3.16
saldanha,PT,2019-03-02 04:43:00,3.42,32,86,41.42,-6.55,2.71
rawson,AR,2019-03-02 04:43:00,7.99,0,86,-43.3,-65.11,1.21
mount gambier,AU,2019-03-02 04:11:00,40,12,9,-37.83,140.78,8.2
vila franca do campo,PT,2019-03-02 04:42:14,14.39,40,87,37.72,-25.43,6.7
thinadhoo,MV,2019-03-02 04:43:01,28.14,12,100,0.53,72.93,4.76
emerald,AU,2019-03-02 04:33:13,32.12,75,29,-23.53,148.16,5.7
tilichiki,RU,2019-03-02 04:43:02,-20.39,0,78,60.47,166.1,1.21
guadalajara,ES,2019-03-02 04:38:06,7.73,0,75,40.63,-3.16,2.1
santa cruz,US,2019-03-02 04:42:40,11.33,88,71,36.97,-122.03,1.51
alta floresta,BR,2019-03-02 04:43:04,22.24,56,96,-9.87,-56.08,0.96
balakhninskiy,RU,2019-03-02 04:43:04,-6.24,64,69,58.01,114.28,1.41
tiznit,MA,2019-03-02 04:43:04,9.17,36,96,29.7,-9.73,1.31
bulgan,MN,2019-03-02 04:43:05,5.22,0,25,48.81,103.53,3.41
leh,IN,2019-03-02 04:43:05,-18.29,56,79,34.16,77.58,0.76
rodeo,MX,2019-03-02 04:43:06,9.32,0,60,25.18,-104.56,1.11
kheda,IN,2019-03-02 04:30:00,23,40,28,22.75,72.68,3.6
avarua,CK,2019-03-02 04:30:00,29,64,79,-21.21,-159.78,1
jambi,ID,2019-03-02 04:39:14,29.99,48,79,-1.6,103.62,2.96
ilulissat,GL,2019-03-02 03:50:00,0,8,57,69.22,-51.1,7.7
bathsheba,BB,2019-03-02 04:00:00,25,20,78,13.22,-59.52,9.8
bojnurd,IR,2019-03-02 04:00:00,4,40,86,37.47,57.33,4.1
plettenberg bay,ZA,2019-03-02 04:43:08,18.52,80,98,-34.05,23.37,2.21
mercedes,UY,2019-03-02 04:43:09,20.39,68,70,-33.25,-58.03,3.21
geraldton,CA,2019-03-02 04:00:00,-16,75,71,49.72,-86.95,1
atbasar,KZ,2019-03-02 04:43:09,-7.36,88,88,51.81,68.36,4.11
iqaluit,CA,2019-03-02 04:42:47,-23.94,20,69,63.75,-68.52,8.7
baracoa,CU,2019-03-02 04:43:10,24.37,100,100,20.35,-74.5,5.21
camacha,PT,2019-03-02 04:00:00,16,20,77,33.08,-16.33,3.1
palmer,AU,2019-03-02 04:42:53,38.46,0,13,-34.85,139.16,5.1
ahipara,NZ,2019-03-02 04:30:26,24.44,0,71,-35.17,173.16,0.89
kloulklubed,PW,2019-03-02 03:50:00,28,75,69,7.04,134.26,4.6
masallatah,LY,2019-03-02 04:43:12,7.57,0,60,32.62,14,4.96
khatanga,RU,2019-03-02 04:43:12,-25.44,0,62,71.98,102.47,1.31
neyshabur,IR,2019-03-02 04:43:13,6.14,36,96,36.21,58.79,1.31
mandalgovi,MN,2019-03-02 04:43:13,4.64,0,63,45.76,106.27,3.91
taguatinga,BR,2019-03-02 04:00:00,21,0,83,-15.83,-48.06,1.31
la ronge,CA,2019-03-02 04:00:00,-25,75,69,55.1,-105.3,4.6
port hedland,AU,2019-03-02 04:30:00,36,80,41,-20.31,118.58,6.2
srednekolymsk,RU,2019-03-02 04:43:15,-21.39,48,58,67.46,153.71,2.61
khandbari,NP,2019-03-02 04:43:16,2.52,0,63,27.38,87.21,0.01
ballina,IE,2019-03-02 04:43:06,6.54,92,96,54.11,-9.15,4.02
oyama,JP,2019-03-02 04:34:35,14.77,20,16,36.31,139.8,2.1
cabra,ES,2019-03-02 04:42:05,6.39,8,93,37.47,-4.43,1
puerto ayora,EC,2019-03-02 04:43:17,26.92,8,100,-0.74,-90.35,2.76
mahebourg,MU,2019-03-02 04:38:59,28.61,75,79,-20.41,57.7,5.1
sistranda,NO,2019-03-02 04:39:16,3.28,75,93,63.73,8.83,15.9
ovre ardal,NO,2019-03-02 04:43:18,-12.79,56,86,61.32,7.8,0.86
mantua,IT,2019-03-02 04:43:14,4.43,0,93,45.16,10.79,1
namibe,AO,2019-03-02 04:43:19,24.17,76,100,-15.19,12.15,0.51
harper,US,2019-03-02 04:43:01,14.57,90,93,30.3,-99.24,4.91
college,US,2019-03-02 04:40:11,-9.15,1,85,64.86,-147.8,1.16
grootfontein,NA,2019-03-02 04:00:00,19,20,77,-19.56,18.1,1.36
leningradskiy,RU,2019-03-02 04:43:20,-7.11,0,76,69.38,178.42,10.46
kumluca,TR,2019-03-02 04:43:21,-1.99,0,75,36.37,30.29,0.86
lompoc,US,2019-03-02 04:42:11,13.18,90,82,34.64,-120.46,2.1
margate,AU,2019-03-02 04:30:00,36.81,0,39,-43.03,147.26,9.3
salalah,OM,2019-03-02 03:50:00,24,0,78,17.01,54.1,1
mbour,SN,2019-03-02 04:00:00,20.9,0,14,14.41,-16.97,7.2
wanaka,NZ,2019-03-02 04:43:22,21.99,0,27,-44.7,169.14,0.91
ulaangom,MN,2019-03-02 04:43:23,-3.09,0,82,49.98,92.07,1.06
pata,SK,2019-03-02 04:42:06,3,75,75,48.28,17.83,3.1
fortuna,ES,2019-03-02 04:42:24,12.25,20,93,38.18,-1.13,3.1
tual,ID,2019-03-02 04:43:24,28.07,56,100,-5.67,132.75,5.01
cortez,US,2019-03-02 04:41:56,1.87,20,74,37.35,-108.58,2.1
kimbe,PG,2019-03-02 04:43:24,28.62,68,96,-5.56,150.15,2.71
poum,MK,2019-03-02 04:43:25,-2.89,76,80,41.28,20.71,0.86
guerrero negro,MX,2019-03-02 04:43:25,13.37,44,100,27.97,-114.04,2.56
saint-louis,CH,2019-03-02 04:42:47,5.33,90,87,47.59,7.56,1.76
lingao,CN,2019-03-02 04:43:26,31.24,0,55,19.91,109.69,0.56
georgetown,GY,2019-03-02 04:00:00,23,40,94,6.8,-58.16,1.5
castro,CL,2019-03-02 04:00:00,11,90,87,-42.48,-73.76,1.5
hastings,NZ,2019-03-02 04:39:49,18.02,8,91,-39.64,176.84,7.51
los altos,AR,2019-03-02 04:38:59,15,0,77,-28.05,-65.5,1.34
necochea,AR,2019-03-02 04:41:13,17.22,92,71,-38.55,-58.74,4.47
lodja,CD,2019-03-02 04:43:29,22.49,44,93,-3.52,23.6,1.41
maumere,ID,2019-03-02 04:43:29,28.17,68,100,-8.63,122.22,1.51
lugovoy,RU,2019-03-02 04:43:30,-2.24,68,86,59.72,65.88,4.51
roseau,US,2019-03-02 04:09:00,-17,1,70,48.85,-95.76,1.5
bogovarovo,RU,2019-03-02 04:43:31,-13.24,12,78,58.98,47.02,2.31
tezu,IN,2019-03-02 04:43:32,15.04,0,49,27.93,96.16,0.46
almaznyy,RU,2019-03-02 04:30:00,1,0,86,48.03,40.04,8
deputatskiy,RU,2019-03-02 04:43:32,-20.84,48,78,69.3,139.9,1.36
osorno,CL,2019-03-02 04:43:33,5.12,20,87,-40.57,-73.14,1.06
vojens,DK,2019-03-02 04:42:37,-0.32,90,92,55.25,9.31,1.5
valdivia,CL,2019-03-02 04:00:00,10,20,87,-39.81,-73.25,1.56
kim,US,2019-03-02 04:43:04,21.36,1,31,32.73,-113.7,3.6
nouadhibou,MR,2019-03-02 04:00:00,17,0,67,20.93,-17.03,7.2
koumac,NC,2019-03-02 04:43:35,27.79,32,73,-20.56,164.28,6.01
arman,RU,2019-03-02 04:43:35,-12.79,36,60,59.7,150.17,3.46
ridgecrest,US,2019-03-02 04:39:39,12.56,75,44,35.62,-117.67,13.4
jidong,CN,2019-03-02 04:43:35,9.54,8,22,45.25,131.14,2.76
matay,EG,2019-03-02 04:43:36,9.79,0,56,28.42,30.79,2.46
fiumicino,IT,2019-03-02 04:39:04,7.92,0,93,41.77,12.23,1.5
ternate,PH,2019-03-02 04:31:00,30.22,20,43,14.29,120.72,6.2
qixingtai,CN,2019-03-02 04:43:08,8.33,64,81,30.41,111.89,3.56
rajo khanani,PK,2019-03-02 04:43:37,25.74,48,40,24.98,68.85,4.26
patea,NZ,2019-03-02 04:40:19,19.44,0,53,-39.76,174.48,5.81
havelock,US,2019-03-02 04:41:23,12.9,90,100,34.88,-76.9,3.6
thompson,CA,2019-03-02 04:00:00,-25,75,75,55.74,-97.86,2.1
cayenne,GF,2019-03-02 04:30:00,24,80,88,4.94,-52.33,3.1
zalalovo,HU,2019-03-02 04:40:41,4,36,93,46.85,16.59,1.81
durham,GB,2019-03-02 04:43:34,6.65,40,87,54.78,-1.58,3.1
half moon bay,US,2019-03-02 04:43:33,11.34,90,81,37.46,-122.43,2.1
bastia,IT,2019-03-02 04:43:09,6.95,0,46,44.6,8.98,1
jalu,LY,2019-03-02 04:43:41,7.29,24,63,29.03,21.55,1.31
laguna,MX,2019-03-02 04:43:41,16.62,36,63,27.52,-110.01,0.66
sitka,US,2019-03-02 04:30:11,-2.78,56,84,37.17,-99.65,0.45
edeia,BR,2019-03-02 04:43:42,19.47,24,95,-17.34,-49.93,1.36
clyde river,CA,2019-03-02 04:00:00,-17,1,70,70.47,-68.59,7.7
acajutla,SV,2019-03-02 04:43:20,21.47,0,89,13.59,-89.83,0.86
najran,SA,2019-03-02 04:00:00,17,5,23,17.54,44.22,1.81
northam,GB,2019-03-02 04:42:14,8.86,92,100,51.04,-4.21,1
egvekinot,RU,2019-03-02 04:43:44,-6.04,64,86,66.32,-179.17,5.01
aykhal,RU,2019-03-02 04:43:44,-13.61,0,71,65.95,111.51,1.76
komsomolskiy,RU,2019-03-02 04:43:44,-16.01,56,80,67.55,63.78,3.96
mezen,RU,2019-03-02 04:43:45,-15.76,0,62,65.85,44.24,2.16
la primavera,AR,2019-03-02 04:00:00,25,0,44,-32.92,-68.67,5.7
baykit,RU,2019-03-02 04:43:46,-7.24,36,73,61.68,96.39,1.86
mackay,CA,2019-03-02 04:00:00,-24.01,5,52,53.65,-115.58,1.5
