City,Country,Date,Max Temp,Cloudiness,Humidity,lat,lon,Wind Speed
montepulciano,IT,2019-03-02 04:42:05,4.61,0,86,43.09,11.78,3.1
jijiga,ET,2019-03-02 04:43:47,20.24,8,63,9.35,42.8,1.66
flinders,AU,2019-03-02 04:40:33,27.49,40,54,-34.58,150.85,7.7
jammu,IN,2019-03-02 04:00:00,13,75,76,32.72,74.86,2.1
nome,US,2019-03-02 04:41:15,15.49,90,87,30.04,-94.42,1.16
baruun-urt,MN,2019-03-02 04:43:48,7.29,0,31,46.68,113.28,2.46
conde,BR,2019-03-02 04:43:48,26.39,76,91,-11.81,-37.61,2.21
aklavik,CA,2019-03-02 04:00:00,-18,5,49,68.22,-135.01,3.6
marawi,PH,2019-03-02 04:43:49,25.62,48,82,8,124.29,1.41
soyo,AO,2019-03-02 04:43:49,23.54,76,97,-6.13,12.37,1.96
motala,SE,2019-03-02 04:31:09,-2.89,0,79,58.54,15.04,2.1
abha,SA,2019-03-02 04:00:00,12.52,0,93,18.22,42.5,2.1
tchaourou,BJ,2019-03-02 04:43:50,22.04,56,92,8.89,2.6,1.36
hall,NL,2019-03-02 04:43:48,4.81,90,93,52.11,6.1,1
sal rei,CV,2019-03-02 04:00:00,20,0,60,16.18,-22.92,8.2
mamit,IN,2019-03-02 04:30:00,21,0,40,23.92,92.49,1.5
nueva loja,EC,2019-03-02 04:43:52,21.22,24,96,0.08,-76.88,0.96
sulphur springs,US,2019-03-02 04:40:03,4.62,90,93,33.14,-95.6,2.6
dingle,PH,2019-03-02 04:43:52,31.37,0,47,11,122.67,4.41
phan thiet,VN,2019-03-02 04:43:53,28.87,0,72,10.93,108.1,6.56
wewak,PG,2019-03-02 04:43:53,28.54,48,79,-3.55,143.63,2.76
san patricio,PY,2019-03-02 04:43:53,15.42,0,81,-26.98,-56.83,0.96
caravelas,BR,2019-03-02 04:43:54,28.32,92,100,-17.73,-39.27,6.76
miri,NG,2019-03-02 04:43:54,21.99,88,58,10.31,9.75,2.76
neiafu,TO,2019-03-02 04:00:00,29,40,79,-18.65,-173.98,2.6
kungurtug,RU,2019-03-02 04:43:55,-0.84,0,55,50.6,97.53,1.06
lorengau,PG,2019-03-02 04:43:55,28.77,24,97,-2.02,147.27,4.01
dwarka,IN,2019-03-02 04:30:00,18.35,90,87,28.58,77.04,3.1
qaqortoq,GL,2019-03-02 03:50:00,4,88,27,60.72,-46.03,8.2
narsaq,GL,2019-03-02 03:50:00,4,48,27,60.91,-46.05,8.2
karpathos,GR,2019-03-02 04:20:00,13,0,76,35.51,27.21,2.1
champasak,LA,2019-03-02 04:00:00,31,20,43,14.89,105.88,5.1
los llanos de aridane,ES,2019-03-02 04:00:16,14.48,75,72,28.66,-17.92,5.7
gizo,IL,2019-03-02 04:43:12,10.5,75,87,31.8,34.94,4.1
severnyy-kospashskiy,RU,2019-03-02 04:42:18,-2.78,80,89,59.09,57.8,3.81
talnakh,RU,2019-03-02 04:43:59,-10.34,76,84,69.49,88.39,8.96
la lira,MX,2019-03-02 03:47:00,19,5,45,20.48,-100.16,4.1
atar,MR,2019-03-02 04:43:59,10.74,0,41,20.52,-13.05,3.36
manggar,ID,2019-03-02 04:44:00,27.49,64,100,-2.88,108.27,3.06
inuvik,CA,2019-03-02 04:00:00,-18,5,49,68.36,-133.71,3.6
airai,TL,2019-03-02 04:44:00,24.14,92,90,-8.93,125.41,1.01
ivanivka,UA,2019-03-02 04:30:00,-1,0,74,46.98,30.46,3
esperance,TT,2019-03-02 04:40:07,23.36,24,83,10.24,-61.45,2.86
kokstad,ZA,2019-03-02 04:44:01,15.29,48,87,-30.55,29.42,1.36
nicoya,CR,2019-03-02 04:31:34,23.17,0,65,10.15,-85.45,1
yenagoa,NG,2019-03-02 04:44:02,22.52,76,92,4.92,6.26,1.31
san cristobal,EC,2019-03-02 04:30:37,12.26,75,87,-0.39,-78.55,1
alekseyevka,RU,2019-03-02 04:30:00,0,90,97,53.25,50.49,3
ambulu,ID,2019-03-02 04:44:03,28.17,44,100,-8.35,113.61,2.56
esso,RU,2019-03-02 04:44:04,-16.11,0,81,55.93,158.7,1.01
leshukonskoye,RU,2019-03-02 04:44:04,-14.96,32,74,64.9,45.76,1.11
nago,IT,2019-03-02 04:44:04,3.35,0,93,45.88,10.89,1
cockburn town,TC,2019-03-02 04:44:05,25.22,44,98,21.46,-71.14,7.81
wukari,NG,2019-03-02 04:44:05,24.62,48,85,7.87,9.78,4.36
sulangan,PH,2019-03-02 04:44:06,27.27,0,98,11.14,123.72,4.51
aguimes,ES,2019-03-02 04:42:53,17.66,75,68,27.91,-15.45,6.2
bayir,TR,2019-03-02 04:20:00,7,40,93,37.27,28.22,1
salinopolis,BR,2019-03-02 04:44:06,25.54,92,100,-0.61,-47.36,3.66
sao joao da barra,BR,2019-03-02 04:40:25,27.04,56,100,-21.64,-41.05,5.36
acapulco,MX,2019-03-02 03:45:00,26,40,83,16.86,-99.88,4.1
bonthe,SL,2019-03-02 04:44:07,23.29,0,97,7.53,-12.5,1.51
kaeo,NZ,2019-03-02 04:38:05,22.29,0,68,-35.1,173.78,5.36
jasper,US,2019-03-02 04:43:58,9.53,56,93,33.83,-87.28,1.31
kangaatsiaq,GL,2019-03-02 04:44:09,-7.39,68,100,68.31,-53.46,3.41
puerto escondido,MX,2019-03-02 03:40:00,26,5,74,15.86,-97.07,2.6
boende,CD,2019-03-02 04:44:10,22.74,48,96,-0.28,20.88,1.46
comodoro rivadavia,AR,2019-03-02 04:00:00,14,40,87,-45.87,-67.48,2.76
kaitangata,NZ,2019-03-02 04:44:11,17.17,0,63,-46.28,169.85,5.06
ankang,CN,2019-03-02 04:44:11,4.82,92,86,32.73,108.99,1.16
hualmay,PE,2019-03-02 04:44:11,19.49,76,94,-11.1,-77.61,0.61
kokopo,PG,2019-03-02 04:44:11,28.67,12,96,-4.34,152.27,3.46
atasu,KZ,2019-03-02 04:44:12,3.82,88,94,48.68,71.64,4.61
tortoli,IT,2019-03-02 03:55:00,13,5,43,39.93,9.66,7.7
chateauroux,FR,2019-03-02 04:42:05,6.46,0,100,43.72,0.65,2.1
dunblane,GB,2019-03-02 04:42:51,6.91,40,93,56.19,-3.96,2.1
luderitz,NA,2019-03-02 04:44:13,15.99,0,86,-26.65,15.16,6.26
grand gaube,MU,2019-03-02 04:43:59,28.95,75,79,-20.01,57.66,5.1
faanui,PF,2019-03-02 04:44:14,25.22,80,100,-16.48,-151.75,3.61
along,IN,2019-03-02 04:44:14,17.39,0,46,28.17,94.8,0.86
varna,BG,2019-03-02 04:00:00,4,0,83,43.22,27.9,2.1
luanda,AO,2019-03-02 04:00:00,25,75,94,-8.83,13.24,1.5
konza,KE,2019-03-02 04:00:00,15,20,67,-1.74,37.13,1
rokupr,SL,2019-03-02 04:44:16,23.77,0,98,9.01,-12.95,2.51
mehran,IR,2019-03-02 04:30:00,0,0,95,33.12,46.17,2.1
kibaha,TZ,2019-03-02 04:44:16,28.74,36,88,-6.79,38.99,1.86
hofn,IS,2019-03-02 04:44:17,4.29,92,100,64.25,-15.21,5.91
copenhagen,DK,2019-03-02 04:42:33,-0.13,75,86,55.69,12.57,3.1
foumbot,CM,2019-03-02 04:44:17,17.54,36,91,5.51,10.64,1.71
la asuncion,EC,2019-03-02 04:44:18,8.64,92,99,-1.64,-78.74,1.01
savalou,BJ,2019-03-02 04:44:18,22.82,56,89,7.93,1.98,1.46
amboasary,MG,2019-03-02 04:00:00,27,40,83,-25.04,46.38,3.1
bilibino,RU,2019-03-02 04:44:19,-22.86,36,62,68.06,166.44,1.56
aasiaat,GL,2019-03-02 04:44:19,-8.99,68,92,68.71,-52.87,3.41
kupang,ID,2019-03-02 04:44:20,27.27,48,100,-10.16,123.6,0.96
kensington,CA,2019-03-02 04:42:50,-6.21,5,57,46.44,-63.64,4.1
yuscaran,HN,2019-03-02 04:00:00,20.71,40,56,13.93,-86.85,1.5
imbituba,BR,2019-03-02 04:00:00,24,40,88,-28.24,-48.67,1.5
santa cruz de la palma,ES,2019-03-02 04:00:16,14.34,75,72,28.68,-17.76,5.7
maple creek,CA,2019-03-02 04:44:21,-24.44,24,52,49.91,-109.46,1.46
yen bai,VN,2019-03-02 04:44:22,24.87,24,93,21.7,104.87,0.46
teya,MX,2019-03-02 04:31:21,26.83,5,57,21.05,-89.07,8.2
vilyuysk,RU,2019-03-02 04:44:22,-12.34,44,67,63.75,121.63,1.66
debar,AT,2019-03-02 04:43:48,1.41,75,86,46.68,14.07,1
zeya,RU,2019-03-02 04:44:23,-3.34,36,54,53.74,127.27,1.31
beyneu,KZ,2019-03-02 04:44:23,0.67,76,90,45.32,55.19,2.11
brigantine,US,2019-03-02 04:44:12,2.7,90,100,39.41,-74.36,8.2
do gonbadan,IR,2019-03-02 04:00:00,2,0,100,30.36,50.8,0.61
kuching,MY,2019-03-02 04:30:00,28.92,75,74,1.56,110.34,4.1
atwater,US,2019-03-02 04:43:59,10.99,75,100,37.35,-120.61,1.41
naze,NG,2019-03-02 04:00:00,26,20,94,5.43,7.07,1.21
ouesso,CG,2019-03-02 04:44:25,22.07,32,97,1.61,16.05,1.06
moose factory,CA,2019-03-02 04:00:00,-14,90,84,51.26,-80.61,2.6
kidal,ML,2019-03-02 04:44:26,11.27,0,48,18.44,1.41,5.51
tessalit,ML,2019-03-02 04:44:26,4.64,0,72,20.2,1.01,2.21
jacareacanga,BR,2019-03-02 04:44:27,23.42,68,92,-6.22,-57.76,1.06
cherskiy,RU,2019-03-02 04:44:27,-23.14,68,67,68.75,161.3,3.21
carutapera,BR,2019-03-02 04:44:27,24.52,88,98,-1.2,-46.02,1.56
huejuquilla el alto,MX,2019-03-02 04:44:28,10.42,0,64,22.63,-103.9,1.11
coihaique,CL,2019-03-02 04:00:00,12.33,0,58,-45.58,-72.07,2.1
fuerte olimpo,BR,2019-03-02 04:44:28,23.54,0,88,-21.04,-57.87,1.81
maniitsoq,GL,2019-03-02 04:44:28,-5.11,12,56,65.42,-52.9,4.56
ler,NO,2019-03-02 04:44:07,2.05,90,71,63.2,10.3,10.8
haicheng,CN,2019-03-02 04:44:29,13.79,0,34,40.85,122.74,6.46
nantucket,US,2019-03-02 04:40:25,0.55,90,80,41.28,-70.1,3.1
belmonte,PT,2019-03-02 04:31:42,2.22,0,96,40.36,-7.35,0.45
bonavista,CA,2019-03-02 04:31:57,-7.22,68,71,48.65,-53.11,8.05
oktyabrskoye,RU,2019-03-02 04:40:21,-5.48,40,85,56.73,85.44,3
maunatlala,BW,2019-03-02 04:00:00,22,40,94,-22.6,27.63,5.46
tselina,RU,2019-03-02 04:44:31,0.42,68,93,46.53,41.03,6.56
touros,BR,2019-03-02 04:00:00,25,40,94,-5.2,-35.46,2.1
ocean city,US,2019-03-02 04:44:04,18.69,75,100,30.44,-86.61,3.1
kolobovo,RU,2019-03-02 04:44:32,-14.21,12,78,56.71,41.34,5.11
ostroda,PL,2019-03-02 04:40:55,-3.61,56,75,53.7,19.96,2.41
sao joao dos patos,BR,2019-03-02 04:44:33,21.87,44,97,-6.5,-43.7,0.81
portales,US,2019-03-02 04:43:42,12.93,90,19,34.19,-103.33,10.3
padang,ID,2019-03-02 04:00:00,29,40,74,-0.92,100.36,2.6
quatre cocos,MU,2019-03-02 04:43:59,28.94,75,79,-20.21,57.76,5.1
ust-tsilma,RU,2019-03-02 04:44:34,-16.94,0,68,65.44,52.15,1.51
zhigansk,RU,2019-03-02 04:44:35,-17.21,12,61,66.77,123.37,1.66
pemba,MZ,2019-03-02 04:00:00,25,75,100,-12.97,40.52,2.6
sinnamary,GF,2019-03-02 04:44:36,26.49,92,91,5.38,-52.96,5.71
curuca,BR,2019-03-02 04:44:36,25.54,20,83,-2.52,-61.06,2.41
tocopilla,CL,2019-03-02 04:44:36,15.39,48,100,-22.09,-70.2,0.91
moron,VE,2019-03-02 04:44:37,19.27,88,93,10.49,-68.2,1.41
kilimatinde,TZ,2019-03-02 04:44:37,18.97,80,94,-5.75,34.82,1.91
snezhnogorsk,RU,2019-03-02 04:30:00,-26,75,75,69.19,33.23,1.91
mareeba,AU,2019-03-02 04:43:29,24.21,75,88,-16.99,145.42,7.2
hit,IQ,2019-03-02 04:44:38,8.37,0,72,33.64,42.83,2.06
chicama,PE,2019-03-02 04:00:00,24,75,88,-7.84,-79.15,3.1
anloga,GH,2019-03-02 04:00:00,25,20,88,5.79,0.9,0.5
sibolga,ID,2019-03-02 04:44:39,26.37,20,90,1.74,98.78,0.51
yigou,CN,2019-03-02 04:44:40,14.74,64,45,35.81,114.32,2.36
reforma,MX,2019-03-02 04:40:22,11.67,0,51,24.02,-104.65,3.41
grand baie,MU,2019-03-02 04:43:59,28.95,75,79,-20.02,57.58,5.1
rio gallegos,AR,2019-03-02 04:00:00,13,40,93,-51.62,-69.22,4.1
lola,GN,2019-03-02 04:44:41,15.54,0,47,7.8,-8.53,1.96
mora,PT,2019-03-02 04:43:31,12.8,0,100,38.94,-8.17,3.66
nizhniy kuranakh,RU,2019-03-02 04:44:42,-5.96,76,62,58.84,125.49,1.76
hammerfest,NO,2019-03-02 04:20:00,-13,8,71,70.66,23.68,3.1
gemena,CD,2019-03-02 04:44:43,21.07,92,96,3.25,19.78,0.96
kerrobert,CA,2019-03-02 04:31:57,-28.62,40,68,51.92,-109.14,6.7
omsukchan,RU,2019-03-02 04:44:44,-22.61,64,73,62.53,155.8,1.81
kulhudhuffushi,MV,2019-03-02 04:44:44,28.32,20,100,6.62,73.07,4.16
maralal,KE,2019-03-02 04:44:44,20.87,0,70,1.1,36.7,1.51
mount pleasant,US,2019-03-02 04:43:44,5.13,90,86,33.16,-94.97,3.1
boa vista,BR,2019-03-02 04:00:00,28,0,54,2.82,-60.67,4.6
hambantota,LK,2019-03-02 04:10:00,31,20,66,6.12,81.12,7.2
severo-kurilsk,RU,2019-03-02 04:44:47,-3.96,64,100,50.68,156.12,3.31
gabu,CN,2019-03-02 04:44:47,1.49,48,34,34.78,103,3.81
codajas,BR,2019-03-02 04:44:48,24.62,44,87,-3.84,-62.06,2.21
hervey bay,AU,2019-03-02 04:40:11,27.88,40,54,-25.3,152.85,10.8
batemans bay,AU,2019-03-02 04:44:17,25.42,56,82,-35.71,150.18,4.47
oum hadjer,TD,2019-03-02 04:44:49,22.87,0,23,13.3,19.7,3.86
huicungo,PE,2019-03-02 04:44:49,22.14,32,95,-7.28,-76.8,0.51
hanamaki,JP,2019-03-02 04:00:00,9,75,34,39.43,141.16,6.7
namatanai,PG,2019-03-02 04:44:50,30.07,8,89,-3.66,152.44,4.11
gorontalo,ID,2019-03-02 04:44:50,31.99,76,50,0.54,123.06,0.71
imeni poliny osipenko,RU,2019-03-02 04:44:51,-3.44,36,57,52.42,136.49,1.51
coahuayana,MX,2019-03-02 04:44:51,15.87,0,73,18.62,-100.35,0.91
nanortalik,GL,2019-03-02 04:44:52,-0.34,56,89,60.14,-45.24,12.31
zonguldak,TR,2019-03-02 03:50:00,7.85,75,70,41.25,31.83,0.5
yatou,CM,2019-03-02 04:44:52,26.27,68,100,3.63,9.81,1.16
ongandjera,NA,2019-03-02 04:44:53,20.32,0,77,-17.88,15.07,1.66
hovd,NO,2019-03-02 04:44:07,2.5,90,93,63.83,10.7,10.8
constantine,DZ,2019-03-02 04:00:00,3,0,86,36.36,6.61,1.71
luis correia,BR,2019-03-02 04:44:54,24.52,56,91,-2.88,-41.67,1.66
aksay,RU,2019-03-02 04:36:07,2.62,0,86,47.27,39.86,8
marathon,CA,2019-03-02 04:44:55,-12.01,76,91,48.72,-86.38,2.56
fenoarivo,MG,2019-03-02 04:00:00,20,75,88,-18.93,47.44,2.6
scottsbluff,US,2019-03-02 04:41:11,-3.82,90,73,41.87,-103.67,5.7
carlisle,GB,2019-03-02 04:41:14,6.79,64,100,54.89,-2.94,4.6
baculin,PH,2019-03-02 04:44:56,24.82,64,98,7.45,126.58,4.36
jiwani,PK,2019-03-02 04:44:56,22.14,0,96,25.05,61.74,6.26
san quintin,PH,2019-03-02 04:44:57,28.64,12,53,17.54,120.52,2.86
normandin,CA,2019-03-02 04:44:57,-16.01,48,54,48.84,-72.53,1.46
sao felix do xingu,BR,2019-03-02 04:44:58,21.64,36,100,-6.64,-51.99,0.76
ludza,LV,2019-03-02 04:44:58,-10.86,0,83,56.55,27.72,3.61
kirakira,SB,2019-03-02 04:44:58,29.17,0,100,-10.46,161.92,4.36
chapais,CA,2019-03-02 04:00:00,-17,1,84,49.78,-74.86,1.16
orocue,CO,2019-03-02 04:44:59,32.42,68,35,4.79,-71.34,4.91
denpasar,ID,2019-03-02 03:30:00,31,20,70,-8.65,115.22,3.1
indianola,US,2019-03-02 04:31:20,-3.84,90,73,40.24,-100.42,5.1
saskylakh,RU,2019-03-02 04:45:00,-27.74,24,25,71.97,114.09,1.41
helong,CN,2019-03-02 04:45:00,17.99,92,97,25.94,116.13,1.51
lasa,CY,2019-03-02 04:31:01,11.4,75,93,34.92,32.53,2.1
aswan,EG,2019-03-02 04:00:00,10,0,39,24.09,32.9,2.1
porto novo,BR,2019-03-02 04:00:00,21,75,100,-23.68,-45.44,1.5
ambon,FR,2019-03-02 04:44:22,10.66,90,87,47.55,-2.56,5.1
miandrivazo,MG,2019-03-02 04:45:02,27.24,0,86,-19.53,45.46,1.81
punta cardon,VE,2019-03-02 04:45:03,24.49,0,73,11.61,-70.22,8.56
chernyshevskiy,RU,2019-03-02 04:45:03,-8.49,8,68,63.01,112.47,1.51
rawalpindi,PK,2019-03-02 04:41:23,11.11,92,86,33.6,73.06,0.89
kanker,IN,2019-03-02 04:45:04,30.02,0,47,20.27,81.49,1.96
praia da vitoria,PT,2019-03-02 04:31:01,15.76,40,77,38.73,-27.07,10.86
kencong,ID,2019-03-02 04:45:05,24.49,76,99,-7.78,112.24,1.71
nemuro,JP,2019-03-02 04:00:00,1,40,40,43.32,145.57,3.1
darnah,LY,2019-03-02 04:40:21,14.99,92,100,32.77,22.64,9.06
vila velha,BR,2019-03-02 04:38:09,25.19,40,94,-3.71,-38.6,1.5
kabare,RW,2019-03-02 04:45:06,17.17,12,94,-1.65,29.38,2.06
mbeya,TZ,2019-03-02 04:45:06,19.47,20,80,-8.91,33.47,1.16
beloha,MG,2019-03-02 04:45:07,27.79,76,94,-25.17,45.06,2.21
ikirun,NG,2019-03-02 04:44:49,21.04,68,93,7.92,4.67,1.21
verkhnyaya inta,RU,2019-03-02 04:45:07,-13.71,36,66,65.99,60.32,1.96
katherine,AU,2019-03-02 04:30:00,35,36,36,-14.47,132.26,2.6
umm lajj,SA,2019-03-02 04:45:08,16.32,0,100,25.02,37.27,3.91
agropoli,IT,2019-03-02 04:45:04,11.02,44,50,40.35,15,4.92
waipawa,NZ,2019-03-02 04:15:17,18.89,0,56,-39.94,176.59,4.36
severomorsk,RU,2019-03-02 04:30:00,-26,75,75,69.07,33.42,2.56
saint-pierre,FR,2019-03-02 04:44:45,7.1,90,93,48.95,4.24,4.1
chimore,BO,2019-03-02 04:45:10,22.07,88,97,-16.98,-65.13,0.86
juruti,BR,2019-03-02 04:45:11,23.89,64,90,-2.16,-56.09,1.06
iquique,CL,2019-03-02 04:00:00,21,0,73,-20.22,-70.14,4.1
mapastepec,MX,2019-03-02 04:45:12,22.04,68,66,15.44,-92.9,0.16
wajima,JP,2019-03-02 04:00:00,9,0,39,37.4,136.9,2.1
dandong,CN,2019-03-02 04:45:12,11.87,0,30,40.12,124.37,3.76
general roca,AR,2019-03-02 04:00:00,17,0,55,-39.03,-67.58,2.26
itarema,BR,2019-03-02 04:45:13,22.79,44,95,-2.92,-39.92,1.21
matamoros,US,2019-03-02 04:45:10,20.63,90,100,25.87,-97.51,3.1
cartagena del chaira,CO,2019-03-02 04:45:14,23.22,20,93,1.33,-74.84,0.96
maningrida,AU,2019-03-02 04:45:14,30.22,20,93,-12.05,134.23,5.11
tangwani,PK,2019-03-02 04:30:00,14,40,76,28.28,69,3.1
quelimane,MZ,2019-03-02 04:45:15,26.97,64,86,-17.88,36.89,3.16
inyonga,TZ,2019-03-02 04:45:16,20.32,68,92,-6.72,32.06,0.96
kodinsk,RU,2019-03-02 04:45:16,-3.59,56,67,58.6,99.18,2.11
callaway,US,2019-03-02 04:34:39,-17.37,1,91,46.98,-95.91,3.1
klaksvik,FO,2019-03-02 04:20:00,7,64,93,62.23,-6.59,4.1
ko samui,TH,2019-03-02 04:30:00,31,20,70,9.54,99.94,5.1
sibu,MY,2019-03-02 04:00:00,29,75,74,2.29,111.83,1.5
longyan,CN,2019-03-02 04:45:18,18.39,92,89,25.1,117.03,1.16
naica,MX,2019-03-02 04:45:19,13.52,0,52,27.86,-105.49,1.86
mabaruma,GY,2019-03-02 04:45:19,25.17,88,80,8.2,-59.78,2.91
aksarka,RU,2019-03-02 04:44:29,-19.99,56,63,66.56,67.8,1.71
bahia blanca,AR,2019-03-02 04:45:20,15.87,0,93,-38.72,-62.27,7.91
parkes,AU,2019-03-02 04:36:00,31.67,56,25,-33.14,148.18,0.45
maragogi,BR,2019-03-02 04:45:20,23.77,68,98,-9.01,-35.22,1.01
corowa,AU,2019-03-02 04:40:41,33.53,0,22,-36,146.39,2.6
sechura,PE,2019-03-02 04:45:21,24.57,76,82,-5.56,-80.82,4.51
oparino,RU,2019-03-02 04:45:21,-14.04,44,76,59.85,48.28,1.71
mtambile,TZ,2019-03-02 04:45:21,28.47,20,98,-5.38,39.7,1.31
saint-joseph,FR,2019-03-02 04:40:55,6.78,0,80,43.56,6.97,1.5
kenai,US,2019-03-02 04:42:04,-4.46,1,73,60.55,-151.26,1.31
shimoda,JP,2019-03-02 04:42:21,12.02,40,100,34.7,138.93,6.7
tautira,PF,2019-03-02 04:43:07,28.94,20,70,-17.73,-149.15,6.2
